sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,1686,6,80 80 01 E7 05 5C 
1,0.000 004 972,"Idle","Init","Cycle Freq.: 180000000, CPU Freq.: 180000000, ID Base: 0x10000000, ID Shift: 0",895,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,1692,18,10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 F1 
2,0.000 024 917,"Idle","System Description","N=FreeRTOS Hello world Application,D=STM32F407-DISC-1,O=FreeRTOS",4485,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,1710,68,09 5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 EF 13 5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 D5 0D 07 90 FB 80 80 01 1B 91 10 04 A0 DA 80 80 01 9D 0B 5A 10 80 8A 81 80 01 E1 D9 80 
3,0.000 032 289,"Idle","System Description","I#15=SysTick",5812,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,1778,16,80 02 FF FF FF FF 0F 00 B6 09 06 90 FB 80 80 01 
4,0.000 036 678,"Idle","System Time (us)","0 us",6602,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,1794,5,A9 08 5A 0D A8 
5,0.000 044 706,"Idle","Task Info","Para_Calc (0x10000C40): Priority=2",8047,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1799,19,91 81 80 01 D8 D9 80 80 02 96 01 00 92 09 5C 10 80 9D 81 
6,0.000 048 856,"Idle","Stack Info","Para_Calc (0x10000C40): 1924 @ 0x20000468",8794,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1818,16,80 01 80 80 80 80 0F FF FF FF FF 0F 01 B0 0E 5A 
7,0.000 056 744,"Idle","Task Info","Fault_Tas (0x10001478): Priority=2",10214,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1834,19,10 80 8A 81 80 01 E1 D9 80 80 02 FF FF FF FF 0F 00 C9 09 
8,0.000 060 900,"Idle","Stack Info","Fault_Tas (0x10001478): 1924 @ 0x20000CA0",10962,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1853,16,5A 0D A8 91 81 80 01 D8 D9 80 80 02 96 01 00 FE 
9,0.000 068 761,"Idle","Task Info","HeartBeat (0x10001CB0): Priority=2",12377,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1869,19,0A 07 A0 DA 80 80 01 1B 8A 13 04 90 FB 80 80 01 CB 0E 5C 
10,0.000 072 922,"Idle","Stack Info","HeartBeat (0x10001CB0): 1924 @ 0x200014D8",13126,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1888,16,10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 
11,0.000 080 783,"Idle","Task Info","Flash Wri (0x100024E8): Priority=2",14541,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1904,19,01 9D 0A 5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 
12,0.000 084 944,"Idle","Stack Info","Flash Wri (0x100024E8): 1924 @ 0x20001D10",15290,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1923,16,0F 01 84 0D 07 90 FB 80 80 01 1B 9A 0F 11 F6 09 
13,0.000 092 806,"Idle","Task Info","Log Fault (0x10002D20): Priority=2",16705,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1939,19,02 0F 91 EE 01 03 D4 04 02 0F 8C D0 03 03 D4 04 02 0F 8C 
14,0.000 096 967,"Idle","Stack Info","Log Fault (0x10002D20): 1924 @ 0x20002548",17454,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1958,16,D0 03 03 D4 04 02 0F 8C D0 03 03 E0 07 02 0F 80 
15,0.000 104 828,"Idle","Task Info","Print_Hel (0x10003558): Priority=2",18869,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,1974,19,CD 03 03 D4 04 02 0F 8C D0 03 03 D4 04 02 0F 90 D0 03 03 
16,0.000 108 989,"Idle","Stack Info","Print_Hel (0x10003558): 1924 @ 0x20002D80",19618,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,1993,16,CC 04 02 0F 90 D0 03 03 D4 04 02 0F 80 D0 03 03 
17,0.000 116 850,"Idle","Task Info","Print_Tas (0x10003D90): Priority=2",21033,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,2009,19,BB 04 02 0F A5 D0 03 03 BB 04 02 0F B1 D0 03 03 D4 04 02 
18,0.000 121 011,"Idle","Stack Info","Print_Tas (0x10003D90): 1924 @ 0x200035B8",21782,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,2028,16,0F 8C D0 03 03 D4 04 02 0F 80 D0 03 03 BB 04 02 
19,0.000 124 278,"Idle","Num Modules","Registered Modules: 0",22370,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,2044,5,0F B1 D0 03 03 
20,0.000 236 372,"SysTick","ISR Enter","Runs for 132.089 us",42547,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,2049,5,D4 04 02 0F 80 
21,0.000 241 394,"SysTick","Start","",43451,0x000000010000000F,0x000000010000000F,0x000000010000000F,10,2064,3,03 BB 04 
22,0.000 245 822,"SysTick","Init","Cycle Freq.: 180000000, CPU Freq.: 180000000, ID Base: 0x10000000, ID Shift: 0",44248,0x000000010000000F,0x000000010000000F,0x000000010000000F,24,2067,18,02 0F B1 D0 03 03 D4 04 02 0F 80 D0 03 03 BB 04 02 0F 
23,0.000 265 756,"SysTick","System Description","N=FreeRTOS Hello world Application,D=STM32F407-DISC-1,O=FreeRTOS",47836,0x000000010000000F,0x000000010000000F,0x000000010000000F,14,2085,68,A5 D0 03 03 BB 04 02 0F B1 D0 03 03 D4 04 02 0F 80 D0 03 03 BB 04 02 0F A5 D0 03 03 BB 04 02 0F B1 D0 03 03 D4 04 02 0F 80 D0 03 03 BB 04 41 0A C0 98 80 80 01 94 FF 87 80 02 B8 B8 01 06 C0 98 80 80 01 82 
24,0.000 273 128,"SysTick","System Description","I#15=SysTick",49163,0x000000010000000F,0x000000010000000F,0x000000010000000F,14,2153,16,06 12 CE 04 04 C0 98 80 80 01 AB 06 42 06 01 FF 
25,0.000 277 450,"SysTick","System Time (us)","0 us",49941,0x000000010000000F,0x000000010000000F,0x000000010000000F,13,2169,5,FF FF FF 0F E1 
